municipio;prefeito;nome_urna;partido;numero;votos;total_votos_municipio;percentual_municipio;situacao;turno
São João de Meriti;Leonardo Vieira Mendes;Leo Vieira;REPUBLICANOS;10;122399;243044;50.3608;ELEITO;1
São Pedro da Aldeia;Carlos Fabio da Silva;Fabio do Pastel;PL;22;40466;53049;76.2804;ELEITO;1
São Sebastião do Alto;Claudiane dos Santos Pietrani Rodrigues;Claudiane Pietrani;SOLIDARIEDADE;77;3474;6782;51.2238;ELEITO;1
Tanguá;Rodrigo da Costa Medeiros;Rodrigo Medeiros;PL;22;16831;20987;80.1973;ELEITO;1
Teresópolis;Jose Leonardo Vasconcellos de Andrade;Leonardo Vasconcellos;UNIÃO;44;25186;89666;28.0887;ELEITO;1
Trajano de Moraes;Rildo Gonçalves Neves;Rildo Neves;PL;22;3693;8061;45.8132;ELEITO;1
Três Rios;Jonas Mascarenhas Macedo;Jonas Dico;PODE;20;16182;57431;28.1764;ELEITO;1
Valença;Saulo de Tarso Pereira Correa da Silva;Saulo Correa;MDB;15;19062;37881;50.3207;ELEITO;1
Varre-sai;Lauro Abib Fabri;Lauro Fabri;UNIÃO;44;3572;7417;48.1596;ELEITO;1
Vassouras;Rosilane Piveti Silva;Rosi;PP;11;10894;22669;48.0568;ELEITO;1
Volta Redonda;Antonio Francisco Neto;Neto;PP;11;109688;146508;74.8683;ELEITO;1
